timestamp_utc,city,temp,humidity,description
2026-07-05T07:30:48.108395+00:00,Ankara,21.78,59,broken clouds
2026-07-05T07:30:48.108395+00:00,İzmir,29.62,52,clear sky
2026-07-05T07:30:48.108395+00:00,Berlin,17.78,92,overcast clouds
2026-07-05T07:30:48.108395+00:00,London,19.02,77,overcast clouds
2026-07-05T10:19:25.098659+00:00,Istanbul,27.01,74,clear sky
2026-07-05T10:19:25.098659+00:00,Ankara,23.45,54,broken clouds
2026-07-05T10:19:25.098659+00:00,İzmir,31.29,59,clear sky
2026-07-05T10:19:25.098659+00:00,Berlin,20.12,71,broken clouds
2026-07-05T10:19:25.098659+00:00,London,22.23,64,overcast clouds
2026-07-05T12:19:19.666439+00:00,Istanbul,27.78,89,clear sky
2026-07-05T12:19:19.666439+00:00,Ankara,24.0,52,broken clouds
2026-07-05T12:19:19.666439+00:00,İzmir,34.62,20,clear sky
2026-07-05T12:19:19.666439+00:00,Berlin,22.38,57,broken clouds
2026-07-05T12:19:19.666439+00:00,London,24.82,58,overcast clouds
2026-07-05T14:46:21.227411+00:00,Istanbul,26.24,72,clear sky
2026-07-05T14:46:21.227411+00:00,Ankara,24.56,47,overcast clouds
2026-07-05T14:46:21.227411+00:00,İzmir,33.51,19,clear sky
2026-07-05T14:46:21.227411+00:00,Berlin,22.98,50,overcast clouds
2026-07-05T14:46:21.227411+00:00,London,28.12,47,broken clouds
2026-07-05T16:12:17.020052+00:00,Istanbul,26.19,76,clear sky
2026-07-05T16:12:17.020052+00:00,Ankara,23.45,47,overcast clouds
2026-07-05T16:12:17.020052+00:00,İzmir,32.4,22,clear sky
2026-07-05T16:12:17.020052+00:00,Berlin,22.78,52,overcast clouds
2026-07-05T16:12:17.020052+00:00,London,28.57,45,broken clouds
2026-07-05T18:06:52.927337+00:00,Istanbul,23.84,100,clear sky
2026-07-05T18:06:52.927337+00:00,Ankara,22.34,48,overcast clouds
2026-07-05T18:06:52.927337+00:00,İzmir,29.62,49,clear sky
2026-07-05T18:06:52.927337+00:00,Berlin,21.44,57,overcast clouds
2026-07-05T18:06:52.927337+00:00,London,28.34,45,overcast clouds
2026-07-05T20:17:05.046418+00:00,Istanbul,22.73,100,clear sky
2026-07-05T20:17:05.046418+00:00,Ankara,19.56,62,broken clouds
2026-07-05T20:17:05.046418+00:00,İzmir,21.65,59,clear sky
2026-07-05T20:17:05.046418+00:00,Berlin,18.66,63,broken clouds
2026-07-05T20:17:05.046418+00:00,London,25.9,53,overcast clouds
2026-07-05T22:04:47.817270+00:00,Istanbul,21.62,100,clear sky
2026-07-05T22:04:47.817270+00:00,Ankara,19.0,64,scattered clouds
2026-07-05T22:04:47.817270+00:00,İzmir,21.65,41,clear sky
2026-07-05T22:04:47.817270+00:00,Berlin,16.96,68,broken clouds
2026-07-05T22:04:47.817270+00:00,London,23.76,63,overcast clouds
2026-07-06T00:10:44.985894+00:00,Istanbul,21.06,100,clear sky
2026-07-06T00:10:44.985894+00:00,Ankara,17.89,71,scattered clouds
2026-07-06T00:10:44.985894+00:00,İzmir,20.5,44,clear sky
2026-07-06T00:10:44.985894+00:00,Berlin,15.74,74,overcast clouds
2026-07-06T00:10:44.985894+00:00,London,21.77,68,overcast clouds
